Model,Dataset,Mutation,Samples,Pass@1,Exec%,FP%,File
deepseek-ai_deepseek-coder-33b-instruct,MBPP,SF,974,46.4,78.3,31.9,results/large_models/deepseek-ai_deepseek-coder-33b-instruct__mbpp_SF_with_tests.json
deepseek-ai_deepseek-coder-33b-instruct,MBPP,US,974,39.8,72.3,32.4,results/large_models/deepseek-ai_deepseek-coder-33b-instruct__mbpp_US_with_tests.json
deepseek-ai_deepseek-coder-6.7b-instruct,MBPP,LV,974,41.6,75.4,33.8,results/small_models/deepseek-ai_deepseek-coder-6.7b-instruct__mbpp_LV_with_tests.json
deepseek-ai_deepseek-coder-6.7b-instruct,MBPP,Orig,974,44.1,77.9,33.8,results/small_models/deepseek-ai_deepseek-coder-6.7b-instruct__mbpp.json
deepseek-ai_deepseek-coder-6.7b-instruct,MBPP,SF,974,43.5,76.9,33.4,results/small_models/deepseek-ai_deepseek-coder-6.7b-instruct__mbpp_SF_with_tests.json
deepseek-ai_deepseek-coder-6.7b-instruct,MBPP,US,974,36.2,70.9,34.7,results/small_models/deepseek-ai_deepseek-coder-6.7b-instruct__mbpp_US_with_tests.json
gpt-5-mini,MBPP,LV,974,46.9,72.8,25.9,results/api/gpt-5-mini__mbpp_LV_with_tests.json
gpt-5-mini,MBPP,Orig,974,49.7,76.4,26.7,results/api/gpt-5-mini__mbpp.json
gpt-5-mini,MBPP,SF,974,49.5,76.0,26.5,results/api/gpt-5-mini__mbpp_SF_with_tests.json
gpt-5-mini,MBPP,US,974,44.6,72.7,28.1,results/api/gpt-5-mini__mbpp_US_with_tests.json
mistralai_Codestral-22B-v0.1,MBPP,LV,974,45.0,77.3,32.3,results/large_models/mistralai_Codestral-22B-v0.1__mbpp_LV_with_tests.json
mistralai_Codestral-22B-v0.1,MBPP,Orig,974,47.6,78.4,30.8,results/large_models/mistralai_Codestral-22B-v0.1__mbpp.json
mistralai_Codestral-22B-v0.1,MBPP,SF,974,47.7,78.2,30.5,results/large_models/mistralai_Codestral-22B-v0.1__mbpp_SF_with_tests.json
mistralai_Codestral-22B-v0.1,MBPP,US,974,38.9,73.0,34.1,results/large_models/mistralai_Codestral-22B-v0.1__mbpp_US_with_tests.json
