_judge_id,task_id,mutation_type,dataset,recoverability,naturalness,lexical_compliance,semantic_preservation,formatting_compliance,underspec_compliance
HumanEval/29__LV,HumanEval/29,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/30__LV,HumanEval/30,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/31__LV,HumanEval/31,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/32__LV,HumanEval/32,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/33__LV,HumanEval/33,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/34__LV,HumanEval/34,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/35__LV,HumanEval/35,LV,humaneval,1.0,1.0,1.0,0.0,,
HumanEval/36__LV,HumanEval/36,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/37__LV,HumanEval/37,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/38__LV,HumanEval/38,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/39__LV,HumanEval/39,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/40__LV,HumanEval/40,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/41__LV,HumanEval/41,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/42__LV,HumanEval/42,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/43__LV,HumanEval/43,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/44__LV,HumanEval/44,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/45__LV,HumanEval/45,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/46__LV,HumanEval/46,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/47__LV,HumanEval/47,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/48__LV,HumanEval/48,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/49__LV,HumanEval/49,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/50__LV,HumanEval/50,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/51__LV,HumanEval/51,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/52__LV,HumanEval/52,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/53__LV,HumanEval/53,LV,humaneval,1.0,1.0,1.0,0.0,,
HumanEval/54__LV,HumanEval/54,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/55__LV,HumanEval/55,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/56__LV,HumanEval/56,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/57__LV,HumanEval/57,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/58__LV,HumanEval/58,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/59__LV,HumanEval/59,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/60__LV,HumanEval/60,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/61__LV,HumanEval/61,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/62__LV,HumanEval/62,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/63__LV,HumanEval/63,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/64__LV,HumanEval/64,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/65__LV,HumanEval/65,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/66__LV,HumanEval/66,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/67__LV,HumanEval/67,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/68__LV,HumanEval/68,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/69__LV,HumanEval/69,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/70__LV,HumanEval/70,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/71__LV,HumanEval/71,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/73__LV,HumanEval/73,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/74__LV,HumanEval/74,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/75__LV,HumanEval/75,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/76__LV,HumanEval/76,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/77__LV,HumanEval/77,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/78__LV,HumanEval/78,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/79__LV,HumanEval/79,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/80__LV,HumanEval/80,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/81__LV,HumanEval/81,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/82__LV,HumanEval/82,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/83__LV,HumanEval/83,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/84__LV,HumanEval/84,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/85__LV,HumanEval/85,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/86__LV,HumanEval/86,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/87__LV,HumanEval/87,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/88__LV,HumanEval/88,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/89__LV,HumanEval/89,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/90__LV,HumanEval/90,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/91__LV,HumanEval/91,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/92__LV,HumanEval/92,LV,humaneval,1.0,1.0,1.0,0.0,,
HumanEval/93__LV,HumanEval/93,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/94__LV,HumanEval/94,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/95__LV,HumanEval/95,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/96__LV,HumanEval/96,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/97__LV,HumanEval/97,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/98__LV,HumanEval/98,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/99__LV,HumanEval/99,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/100__LV,HumanEval/100,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/101__LV,HumanEval/101,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/102__LV,HumanEval/102,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/103__LV,HumanEval/103,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/104__LV,HumanEval/104,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/105__LV,HumanEval/105,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/106__LV,HumanEval/106,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/107__LV,HumanEval/107,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/108__LV,HumanEval/108,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/109__LV,HumanEval/109,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/110__LV,HumanEval/110,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/111__LV,HumanEval/111,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/112__LV,HumanEval/112,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/113__LV,HumanEval/113,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/114__LV,HumanEval/114,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/115__LV,HumanEval/115,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/116__LV,HumanEval/116,LV,humaneval,1.0,1.0,1.0,0.0,,
HumanEval/117__LV,HumanEval/117,LV,humaneval,0.0,0.0,1.0,0.0,,
HumanEval/118__LV,HumanEval/118,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/119__LV,HumanEval/119,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/120__LV,HumanEval/120,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/121__LV,HumanEval/121,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/122__LV,HumanEval/122,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/123__LV,HumanEval/123,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/124__LV,HumanEval/124,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/125__LV,HumanEval/125,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/126__LV,HumanEval/126,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/127__LV,HumanEval/127,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/128__LV,HumanEval/128,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/129__LV,HumanEval/129,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/130__LV,HumanEval/130,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/131__LV,HumanEval/131,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/132__LV,HumanEval/132,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/133__LV,HumanEval/133,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/134__LV,HumanEval/134,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/135__LV,HumanEval/135,LV,humaneval,1.0,0.0,1.0,0.0,,
HumanEval/136__LV,HumanEval/136,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/137__LV,HumanEval/137,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/138__LV,HumanEval/138,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/139__LV,HumanEval/139,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/140__LV,HumanEval/140,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/141__LV,HumanEval/141,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/142__LV,HumanEval/142,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/143__LV,HumanEval/143,LV,humaneval,1.0,1.0,1.0,0.0,,
HumanEval/144__LV,HumanEval/144,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/145__LV,HumanEval/145,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/146__LV,HumanEval/146,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/147__LV,HumanEval/147,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/148__LV,HumanEval/148,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/149__LV,HumanEval/149,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/150__LV,HumanEval/150,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/151__LV,HumanEval/151,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/152__LV,HumanEval/152,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/153__LV,HumanEval/153,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/154__LV,HumanEval/154,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/155__LV,HumanEval/155,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/156__LV,HumanEval/156,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/157__LV,HumanEval/157,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/158__LV,HumanEval/158,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/159__LV,HumanEval/159,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/160__LV,HumanEval/160,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/161__LV,HumanEval/161,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/162__LV,HumanEval/162,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/163__LV,HumanEval/163,LV,humaneval,1.0,1.0,1.0,1.0,,
HumanEval/0__SF,HumanEval/0,SF,humaneval,1.0,1.0,,0.0,1.0,
HumanEval/1__SF,HumanEval/1,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/2__SF,HumanEval/2,SF,humaneval,1.0,1.0,,0.0,1.0,
HumanEval/3__SF,HumanEval/3,SF,humaneval,0.0,1.0,,1.0,1.0,
HumanEval/4__SF,HumanEval/4,SF,humaneval,0.0,1.0,,1.0,1.0,
HumanEval/5__SF,HumanEval/5,SF,humaneval,0.0,1.0,,1.0,1.0,
HumanEval/6__SF,HumanEval/6,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/7__SF,HumanEval/7,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/8__SF,HumanEval/8,SF,humaneval,0.0,1.0,,1.0,1.0,
HumanEval/9__SF,HumanEval/9,SF,humaneval,0.0,1.0,,1.0,1.0,
HumanEval/10__SF,HumanEval/10,SF,humaneval,1.0,1.0,,0.0,1.0,
HumanEval/11__SF,HumanEval/11,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/12__SF,HumanEval/12,SF,humaneval,1.0,1.0,,0.0,1.0,
HumanEval/13__SF,HumanEval/13,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/14__SF,HumanEval/14,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/15__SF,HumanEval/15,SF,humaneval,1.0,1.0,,0.0,1.0,
HumanEval/16__SF,HumanEval/16,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/17__SF,HumanEval/17,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/18__SF,HumanEval/18,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/19__SF,HumanEval/19,SF,humaneval,0.0,1.0,,1.0,1.0,
HumanEval/20__SF,HumanEval/20,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/21__SF,HumanEval/21,SF,humaneval,0.0,1.0,,1.0,1.0,
HumanEval/22__SF,HumanEval/22,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/23__SF,HumanEval/23,SF,humaneval,1.0,1.0,,0.0,1.0,
HumanEval/24__SF,HumanEval/24,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/25__SF,HumanEval/25,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/26__SF,HumanEval/26,SF,humaneval,0.0,1.0,,1.0,1.0,
HumanEval/27__SF,HumanEval/27,SF,humaneval,1.0,1.0,,0.0,1.0,
HumanEval/28__SF,HumanEval/28,SF,humaneval,1.0,1.0,,0.0,1.0,
HumanEval/29__SF,HumanEval/29,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/30__SF,HumanEval/30,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/31__SF,HumanEval/31,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/32__SF,HumanEval/32,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/33__SF,HumanEval/33,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/34__SF,HumanEval/34,SF,humaneval,1.0,1.0,,0.0,1.0,
HumanEval/35__SF,HumanEval/35,SF,humaneval,1.0,1.0,,0.0,1.0,
HumanEval/36__SF,HumanEval/36,SF,humaneval,0.0,1.0,,1.0,1.0,
HumanEval/37__SF,HumanEval/37,SF,humaneval,0.0,1.0,,1.0,1.0,
HumanEval/38__SF,HumanEval/38,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/39__SF,HumanEval/39,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/40__SF,HumanEval/40,SF,humaneval,1.0,1.0,,0.0,1.0,
HumanEval/41__SF,HumanEval/41,SF,humaneval,0.0,1.0,,1.0,1.0,
HumanEval/42__SF,HumanEval/42,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/43__SF,HumanEval/43,SF,humaneval,1.0,1.0,,0.0,1.0,
HumanEval/44__SF,HumanEval/44,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/45__SF,HumanEval/45,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/46__SF,HumanEval/46,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/47__SF,HumanEval/47,SF,humaneval,1.0,1.0,,0.0,1.0,
HumanEval/48__SF,HumanEval/48,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/49__SF,HumanEval/49,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/50__SF,HumanEval/50,SF,humaneval,1.0,1.0,,0.0,1.0,
HumanEval/51__SF,HumanEval/51,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/52__SF,HumanEval/52,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/53__SF,HumanEval/53,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/54__SF,HumanEval/54,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/55__SF,HumanEval/55,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/56__SF,HumanEval/56,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/57__SF,HumanEval/57,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/58__SF,HumanEval/58,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/59__SF,HumanEval/59,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/60__SF,HumanEval/60,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/61__SF,HumanEval/61,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/62__SF,HumanEval/62,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/63__SF,HumanEval/63,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/64__SF,HumanEval/64,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/65__SF,HumanEval/65,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/66__SF,HumanEval/66,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/67__SF,HumanEval/67,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/68__SF,HumanEval/68,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/69__SF,HumanEval/69,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/70__SF,HumanEval/70,SF,humaneval,0.0,1.0,,1.0,1.0,
HumanEval/71__SF,HumanEval/71,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/72__SF,HumanEval/72,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/73__SF,HumanEval/73,SF,humaneval,0.0,1.0,,1.0,1.0,
HumanEval/74__SF,HumanEval/74,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/75__SF,HumanEval/75,SF,humaneval,0.0,1.0,,1.0,1.0,
HumanEval/76__SF,HumanEval/76,SF,humaneval,0.0,1.0,,1.0,1.0,
HumanEval/77__SF,HumanEval/77,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/78__SF,HumanEval/78,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/79__SF,HumanEval/79,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/80__SF,HumanEval/80,SF,humaneval,1.0,1.0,,0.0,1.0,
HumanEval/81__SF,HumanEval/81,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/82__SF,HumanEval/82,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/83__SF,HumanEval/83,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/84__SF,HumanEval/84,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/85__SF,HumanEval/85,SF,humaneval,1.0,1.0,,0.0,1.0,
HumanEval/86__SF,HumanEval/86,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/87__SF,HumanEval/87,SF,humaneval,0.0,1.0,,1.0,1.0,
HumanEval/88__SF,HumanEval/88,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/89__SF,HumanEval/89,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/90__SF,HumanEval/90,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/91__SF,HumanEval/91,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/92__SF,HumanEval/92,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/93__SF,HumanEval/93,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/94__SF,HumanEval/94,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/95__SF,HumanEval/95,SF,humaneval,1.0,1.0,,0.0,1.0,
HumanEval/96__SF,HumanEval/96,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/97__SF,HumanEval/97,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/98__SF,HumanEval/98,SF,humaneval,1.0,1.0,,0.0,1.0,
HumanEval/99__SF,HumanEval/99,SF,humaneval,0.0,1.0,,1.0,1.0,
HumanEval/100__SF,HumanEval/100,SF,humaneval,1.0,1.0,,0.0,1.0,
HumanEval/101__SF,HumanEval/101,SF,humaneval,1.0,1.0,,0.0,1.0,
HumanEval/102__SF,HumanEval/102,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/103__SF,HumanEval/103,SF,humaneval,1.0,1.0,,0.0,1.0,
HumanEval/104__SF,HumanEval/104,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/105__SF,HumanEval/105,SF,humaneval,0.0,1.0,,1.0,1.0,
HumanEval/106__SF,HumanEval/106,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/107__SF,HumanEval/107,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/108__SF,HumanEval/108,SF,humaneval,0.0,1.0,,1.0,1.0,
HumanEval/109__SF,HumanEval/109,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/110__SF,HumanEval/110,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/111__SF,HumanEval/111,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/112__SF,HumanEval/112,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/113__SF,HumanEval/113,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/114__SF,HumanEval/114,SF,humaneval,0.0,1.0,,1.0,1.0,
HumanEval/115__SF,HumanEval/115,SF,humaneval,1.0,1.0,,0.0,1.0,
HumanEval/116__SF,HumanEval/116,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/117__SF,HumanEval/117,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/118__SF,HumanEval/118,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/119__SF,HumanEval/119,SF,humaneval,0.0,1.0,,1.0,1.0,
HumanEval/120__SF,HumanEval/120,SF,humaneval,0.0,1.0,,1.0,1.0,
HumanEval/121__SF,HumanEval/121,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/122__SF,HumanEval/122,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/123__SF,HumanEval/123,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/124__SF,HumanEval/124,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/125__SF,HumanEval/125,SF,humaneval,0.0,1.0,,1.0,1.0,
HumanEval/126__SF,HumanEval/126,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/127__SF,HumanEval/127,SF,humaneval,0.0,1.0,,1.0,1.0,
HumanEval/128__SF,HumanEval/128,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/129__SF,HumanEval/129,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/130__SF,HumanEval/130,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/131__SF,HumanEval/131,SF,humaneval,0.0,1.0,,1.0,1.0,
HumanEval/132__SF,HumanEval/132,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/133__SF,HumanEval/133,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/134__SF,HumanEval/134,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/135__SF,HumanEval/135,SF,humaneval,0.0,1.0,,1.0,1.0,
HumanEval/136__SF,HumanEval/136,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/137__SF,HumanEval/137,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/138__SF,HumanEval/138,SF,humaneval,0.0,1.0,,1.0,1.0,
HumanEval/139__SF,HumanEval/139,SF,humaneval,0.0,1.0,,1.0,1.0,
HumanEval/140__SF,HumanEval/140,SF,humaneval,0.0,1.0,,0.0,1.0,
HumanEval/141__SF,HumanEval/141,SF,humaneval,1.0,1.0,,0.0,1.0,
HumanEval/142__SF,HumanEval/142,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/143__SF,HumanEval/143,SF,humaneval,1.0,1.0,,1.0,1.0,
HumanEval/144__SF,HumanEval/144,SF,humaneval,0.0,1.0,,0.0,1.0,
